Protocol,Round,ConsensusError,GradientNorm,Normalized_Energy
Ours,30,2.711872404363822,0.04856403019460435,0.9585047204559486
Ours,31,2.67056488511455,0.04805778459353093,0.9571963835598735
Ours,32,2.630919530403613,0.047577193564861585,0.9558880838729236
Ours,33,2.592850775171556,0.04712058705919875,0.9545798196804169
Ours,34,2.5562768419852158,0.04668640526513767,0.9532715893935673
Ours,35,2.5211197700717336,0.04627319375110799,0.9519633915372216
Ours,36,2.4873053864885684,0.04587959794718764,0.9506552247390936
Ours,37,2.4547632355487465,0.04550435730364835,0.9493470877202758
Ours,38,2.4234264787995703,0.04514629936194194,0.94803897928683
Ours,39,2.3932317748997165,0.044804333899632676,0.9467308983223283
Ours,40,2.364119146461989,0.044477447256647255,0.9454228437812016
Ours,41,2.3360318391753614,0.044164696911020006,0.9441148146828098
Ours,42,2.308916177172439,0.043865206344195246,0.9428068101061007
Ours,43,2.2827214175746406,0.04357816021601567,0.941498829184844
Ours,44,2.257399606357644,0.04330279985560832,0.940190871103313
Ours,45,2.2329054370752486,0.043038419064863935,0.9388829350923963
Ours,46,2.2091961135217772,0.04278436022489133,0.937575020426077
Ours,47,2.1862312170647766,0.042540010691826724,0.9362671264182378
Ours,48,2.163972579117857,0.04230479946602831,0.9349592524197523
Ours,49,2.142384159025896,0.042078194117509155,0.933651397815846
Ours,50,2.121401505026223,0.07359620208502143,0.9323435627363929
Ours,51,2.1010237173303428,0.0732242878169932,0.9310357466240747
Ours,52,2.081220421270155,0.07286508356657562,0.9297279489493715
Ours,53,2.0619629404097943,0.07251787675142965,0.9284201692087115
Ours,54,2.043224201141217,0.07218200142681856,0.9271124069227531
Ours,55,2.024978642428789,0.07185683494585376,0.9258046616348236
Ours,56,2.0072021304720598,0.07154179488147344,0.9244969329094668
Ours,57,1.9898718780572506,0.07123633618780793,0.9231892203311184
Ours,58,1.9729663683715262,0.07093994858062178,0.9218815235028652
Ours,59,1.9564652830572775,0.07065215411836115,0.920573842045308
Ours,60,1.9403494342901508,0.0703725049670026,0.9192661755955112
Ours,61,1.9246007006705357,0.07010058133340678,0.9179585238060204
Ours,62,1.9092019667260942,0.06983598955325025,0.9166508863439561
Ours,63,1.895773571526126,0.06957836032084912,0.915343262890171
Ours,64,1.8856882917046909,0.06932734704931645,0.9140356531384669
Ours,65,1.875599317254351,0.06908262435051707,0.9127280567948661
Ours,66,1.8655108228350497,0.06884388662521294,0.9114204735769327
Ours,67,1.8554267268517082,0.06861084675463401,0.9101129032131293
Ours,68,1.8453507058467606,0.06844216109139879,0.908805345442244
Ours,69,1.8352862080595613,0.06828010146012417,0.9074978000128218
Ours,70,1.8252364662060818,0.06811855081045741,0.9061902666826556
Ours,71,1.81520450952788,0.06795756213841612,0.904882745218302
Ours,72,1.805193175155547,0.06779718451808678,0.9035752353946312
Ours,73,1.795205118828466,0.06763746333675914,0.9022677369944004
Ours,74,1.785242825009285,0.06747844051642456,0.9009602498078589
Ours,75,1.7753086164294907,0.06732015472243624,0.8996527736323733
Ours,76,1.7654046630992295,0.06716264156007776,0.8983453082720834
Ours,77,1.7555329908131723,0.06700593375973828,0.8970378535375624
Ours,78,1.7456954891811676,0.066850061351352,0.8957304092455205
Ours,79,1.7358939192115097,0.06669505182871847,0.8944229752185094
Ours,80,1.7261299204724534,0.066540930304284,0.8931155512846446
Ours,81,1.7164050178559462,0.06638771965493209,0.8918081372773551
Ours,82,1.7067206279664802,0.06623544065929743,0.8905007330351351
Ours,83,1.6970780651561892,0.06608411212708921,0.8891933384013182
Ours,84,1.6874785472263905,0.06593375102088271,0.8878859532238632
Ours,85,1.6779232008141653,0.06578437257080985,0.8865785773551438
Ours,86,1.668413066482115,0.06563599038255741,0.8852712106517647
Ours,87,1.6589491035275568,0.06548861653905697,0.8839638529743695
Ours,88,1.6495321945274612,0.06534226169622905,0.8826565041874809
Ours,89,1.6401631496331754,0.06519693517312428,0.8813491641593302
Ours,90,1.63084271062989,0.0650526450367836,0.880041832761704
Ours,91,1.6215715547730323,0.06490939818212257,0.8787345098697996
Ours,92,1.6123502984149312,0.06476720040712704,0.8774271953620891
Ours,93,1.6031795004327005,0.06462605648363005,0.8761198891201836
Ours,94,1.5940596654688173,0.06448597022392696,0.8748125910287152
Ours,95,1.5849912469947751,0.06434694454346856,0.8735053009752124
Ours,96,1.57597465020756,0.06420898151985925,0.8721980188499956
Ours,97,1.5670102347681047,0.06407208244837517,0.870890744546067
Ours,98,1.5580983173908243,0.06393624789420338,0.8695834779590085
Ours,99,1.549239174292059,0.06380147774159253,0.8682762189868876
Ours,100,1.54043260192936,0.06682249025288373,0.8669689676239315
Ours,101,1.5316792615002033,0.06668318195757349,0.8656617237725642
Ours,102,1.5229793207532518,0.06654498756194627,0.8643544873374449
Ours,103,1.514332915450239,0.06640790452581252,0.8630472582253751
Ours,104,1.5057401512280923,0.06627192981072096,0.8617400363452336
Ours,105,1.4972011053576268,0.06613705991521614,0.8604328216079025
Ours,106,1.488715828405776,0.06600329090825348,0.8591256139261991
Ours,107,1.480284345806796,0.06587061846073515,0.8578184132148086
Ours,108,1.4719066593484025,0.0657390378752108,0.8565112193902249
Ours,109,1.4635827485768105,0.06560854411381806,0.855204032370693
Ours,110,1.4553125721257543,0.06547913182455053,0.8538968520761465
Ours,111,1.4470960689736099,0.0653507953659453,0.8525896784281568
Ours,112,1.4389331596323889,0.06522352883027854,0.8512825113498854
Ours,113,1.4308237472726355,0.06509732606535584,0.8499753507660269
Ours,114,1.422767718787544,0.06497218069497897,0.8486681966027654
Ours,115,1.4147649457998734,0.06484808613816677,0.8473610487877309
Ours,116,1.4068152856144427,0.06472503562720273,0.8460539072499544
Ours,117,1.3989185821194927,0.06460302222457866,0.844746771919824
Ours,118,1.3910746666395961,0.06448203883889883,0.8434396427290468
Ours,119,1.3832833587425772,0.06436207823980553,0.8421325196106128
Ours,120,1.3755444670032673,0.06424313307198361,0.840825402498753
Ours,121,1.3678577897261202,0.06412519586829753,0.8395182913289128
Ours,122,1.360223115629075,0.06400825906211216,0.8382111860377071
Ours,123,1.352640224490689,0.06389231499884443,0.8369040865628953
Ours,124,1.3451088877625972,0.0637773559467917,0.8355969928433478
Ours,125,1.337628869149066,0.06366337410727808,0.8342899048190183
Ours,126,1.3301999251553496,0.06355036162415939,0.832982822430909
Ours,127,1.322821805606683,0.0634383105927239,0.8316757456210515
Ours,128,1.3154942541395371,0.06332721306802391,0.8303686743324711
Ours,129,1.3082170086661589,0.06321706107267193,0.8290616085091673
Ours,130,1.3009898018144503,0.06310784660413246,0.8277545480960842
Ours,131,1.2938123613439483,0.06299956164153868,0.8264474930390946
Ours,132,1.286684410539591,0.06289219815206236,0.8251404432849652
Ours,133,1.2796056685841355,0.06278574809686263,0.8238333987813425
Ours,134,1.2725758509105396,0.06268020343663815,0.8225263594767331
Ours,135,1.265594669535313,0.0625755561368067,0.8212193253204734
Ours,136,1.2586618333738393,0.06247179817233306,0.8199122962627211
Ours,137,1.251777048538587,0.06236892153222652,0.8186052722544265
Ours,138,1.2449400186211927,0.062266918223726826,0.8172982532473158
Ours,139,1.2381504449591758,0.062165780276197374,0.8159912391938823
Ours,140,1.231408026888146,0.06206549974474245,0.8146842300473529
Ours,141,1.2247124619801755,0.06196606871356517,0.813377225761684
Ours,142,1.2180634462693296,0.061867479299080784,0.8120702262915408
Ours,143,1.2114606744645129,0.06176972365280075,0.8107632315922809
Ours,144,1.2049038401508758,0.06167279396399983,0.809456241619939
Ours,145,1.1983926359800334,0.061576682462180295,0.8081492563312133
Ours,146,1.191926753849606,0.06148138141934445,0.8068422756834501
Ours,147,1.1855058850729898,0.06138688315208727,0.8055352996346308
Ours,148,1.1791297205395612,0.06129318002351958,0.8042283281433572
Ours,149,1.172797950865833,0.06120026444503208,0.8029213611688378
Ours,150,1.166510785217606,0.0610649764748071,0.8016143986784766
Ours,151,1.1602673900078013,0.060973678878115604,0.8003074406326417
Ours,152,1.1540674559732267,0.06088314576797693,0.7990004869922739
Ours,153,1.14791067408161,0.060793369770359255,0.7976935377188731
Ours,154,1.1417967356502556,0.06070434356624048,0.7963865927744838
Ours,155,1.1357253324559629,0.060616059892478175,0.7950796521216941
Ours,156,1.129696156837989,0.06052851154266381,0.7937727157236106
Ours,157,1.1237089017940585,0.060441691367916446,0.7924657835438625
Ours,158,1.1186885631951058,0.06035559227759786,0.7911588555465809
Ours,159,1.1140826724114457,0.06027020723994583,0.7898519316963927
Ours,160,1.1095003211313217,0.06018552928262621,0.7885450119584131
Ours,161,1.1049413739756373,0.06010155149320754,0.7872380962982317
Ours,162,1.1004056967837272,0.060018267019563025,0.7859311846819089
Ours,163,1.0958931565799641,0.05993566907020404,0.7846242770759628
Ours,164,1.0914036215418266,0.05985375091454976,0.7833173734473621
Ours,165,1.086936960969405,0.05977250588313761,0.7820104737635163
Ours,166,1.0824930452562331,0.05969192736777806,0.7807035779922722
Ours,167,1.0780717458615223,0.05961200882165764,0.7793966861019006
Ours,168,1.0736729352833876,0.05953274375939434,0.7780897980610891
Ours,169,1.069296487033575,0.059454125757047414,0.7767829138389417
Ours,170,1.064942275612982,0.059376148452085956,0.7754760334049592
Ours,171,1.0606101764884397,0.05929880554331838,0.774169156729042
Ours,172,1.056300066070625,0.05922209079078569,0.7728622837814789
Ours,173,1.0520118216924448,0.059145998015621176,0.7715554145329429
Ours,174,1.0477453215889818,0.059070521099878565,0.7702485489544794
Ours,175,1.0435004448779432,0.05899565398633128,0.768941687017506
Ours,176,1.0392770715409854,0.05892139067824461,0.767634828693801
Ours,177,1.035075082405931,0.0588477252391229,0.7663279739555012
Ours,178,1.0308943591296682,0.0587746517924333,0.7650211227750912
Ours,179,1.0267347841818826,0.05870216452130828,0.7637142751254027
Ours,180,1.0225962408294238,0.05863025766822815,0.762407430979605
Ours,181,1.0184786131212138,0.0585589255346853,0.7611005903112008
Ours,182,1.0143817858740791,0.0584881624808315,0.7597937530940182
Ours,183,1.0103056446588983,0.058417962925109666,0.7584869193022123
Ours,184,1.0062500757875428,0.05834832134387138,0.7571800889102518
Ours,185,1.002214966300154,0.05827923227098136,0.7558732618929153
Ours,186,0.9982002039531397,0.058210690297409884,0.7545664382252899
Ours,187,0.9942056772076774,0.058142690070814566,0.7532596178827654
Ours,188,0.9902312752183919,0.05807522629511188,0.7519528008410256
Ours,189,0.986276887822901,0.05800829373004025,0.7506459870760475
Ours,190,0.9823424055314817,0.05794188719071443,0.7493391765640968
Ours,191,0.9784277195173969,0.057876001547173206,0.7480323692817192
Ours,192,0.9745327216073564,0.05781063172392042,0.7467255652057416
Ours,193,0.9706573042725349,0.05774577269946025,0.7454187643132614
Ours,194,0.9668013606199843,0.057681419505827475,0.7441119665816477
Ours,195,0.9629647843841065,0.057617567228113384,0.7428051719885351
Ours,196,0.9591474699189051,0.05755421100398783,0.7414983805118173
Ours,197,0.9553493121901128,0.0574913460232183,0.7401915921296474
Ours,198,0.9515702067678106,0.05742896752718584,0.7388848068204327
Ours,199,0.9478100498194765,0.05736707080839942,0.737578024562826
Ours,200,0.9440689000860101,0.05712121814137358,0.7362712453361566
Ours,201,0.940346491961685,0.0570604706348013,0.7349644691195667
Ours,202,0.9366427233676154,0.057000189530059156,0.7336576958924402
Ours,203,0.9329574927973909,0.056940370334727236,0.7323509256343912
Ours,204,0.929290699310603,0.05688100860490118,0.7310441583252687
Ours,205,0.9256422425269194,0.056822099944665035,0.7297373939451441
Ours,206,0.9220120226205591,0.056763640005594175,0.7284306324743202
Ours,207,0.9183999403148629,0.056705624486270104,0.7271238738933147
Ours,208,0.9148058968772745,0.05664804913180071,0.7258171181828669
Ours,209,0.9112297941142463,0.05659090973334264,0.7245103653239263
Ours,210,0.907671534366603,0.056534202127624424,0.7232036152976602
Ours,211,0.9041310205048976,0.056477922196471145,0.7218968680854384
Ours,212,0.9006081559249719,0.05642206586632949,0.7205901236688371
Ours,213,0.897102844543637,0.05636662910779473,0.719283382029639
Ours,214,0.8936149907946057,0.05631160793513904,0.7179766431498199
Ours,215,0.8901444996243059,0.05625699840584198,0.7166699070115574
Ours,216,0.8866912764881234,0.056202796620123015,0.715363173597219
Ours,217,0.8832552273465901,0.05614899872047668,0.7140564428893658
Ours,218,0.8798362586616052,0.05609560089121029,0.712749714870746
Ours,219,0.8764342773930021,0.056042599357984745,0.7114429895242947
Ours,220,0.8730491909949648,0.05598999038735794,0.7101362668331274
Ours,221,0.869680907412835,0.05593777028633162,0.7088295467805446
Ours,222,0.8663293350795936,0.0558859354019018,0.707522829350019
Ours,223,0.8629943829128743,0.05583448212061188,0.7062161145252024
Ours,224,0.8596759603117314,0.05578340686810977,0.7049094022899182
Ours,225,0.8563739771537233,0.05573270610870866,0.7036026926281629
Ours,226,0.8530883437918536,0.05568237634495093,0.7022959855240993
Ours,227,0.8498189710517311,0.05563241411717643,0.7009892809620539
Ours,228,0.8465657702288244,0.05558281600309385,0.6996825789265219
Ours,229,0.843328653085559,0.05553357861735657,0.6983758794021561
Ours,230,0.8401075318488094,0.05548469861114178,0.6970691823737692
Ours,231,0.8369023192070897,0.05543617267173397,0.6957624878263323
Ours,232,0.8337129283081766,0.05538799752211211,0.694455795744971
Ours,233,0.8305392727563989,0.05534016992054072,0.6931491061149646
Ours,234,0.827381266610296,0.05529268666016519,0.69184241892174
Ours,235,0.8242388243801064,0.055245544568610756,0.690535734150877
Ours,236,0.8211118610254919,0.055198740507585733,0.6892290517880987
Ours,237,0.818000291953067,0.05515227137248875,0.6879223718192756
Ours,238,0.8149040330142509,0.0551061340920197,0.6866156942304199
Ours,239,0.8118230005028465,0.05506032562779514,0.6853090190076873
Ours,240,0.8087571111529537,0.05501484297396746,0.6840023461373678
Ours,241,0.8057062821367568,0.05496968315684802,0.6826956756058923
Ours,242,0.8026704310622963,0.05492484323453449,0.6813890073998292
Ours,243,0.7996494759714287,0.05488032029654205,0.6800823415058732
Ours,244,0.7966433353376847,0.05483611146343861,0.6787756779108608
Ours,245,0.7936519280642033,0.054792213886484024,0.6774690166017507
Ours,246,0.7906751734817563,0.05474862474727321,0.6761623575656358
Ours,247,0.7877129913466543,0.0547053412573834,0.6748557007897329
Ours,248,0.7847653018387601,0.054662360658025,0.6735490462613838
Ours,249,0.7818320255596121,0.05461968021969668,0.6722423939680542
Ours,250,0.7789131936592987,0.05443894800532989,0.670935743897251
Ours,251,0.7760086167894691,0.054396968690002864,0.6696290960366807
Ours,252,0.7731182168063392,0.05435528075354474,0.6683224503741725
Ours,253,0.7702419159805823,0.05431388158729066,0.6670158068976753
Ours,254,0.7673796369952781,0.05427276861012271,0.6657091655952524
Ours,255,0.7645313029438534,0.05423193926813329,0.6644025264550786
Ours,256,0.7616968373281918,0.05419139103430383,0.6630958894654482
Ours,257,0.7588761640567216,0.05415112140819155,0.6617892546147593
Ours,258,0.7560692074427252,0.05411112791562206,0.6604826218915277
Ours,259,0.7532758922023612,0.054071408108385434,0.659175991284375
Ours,260,0.7504961434529817,0.05403195956393571,0.6578693627820289
Ours,261,0.7477298867113241,0.053992779885094065,0.6565627363733263
Ours,262,0.7449770478917297,0.0539538666997546,0.6552561120472055
Ours,263,0.7422375533043898,0.05391521766059366,0.6539494897927123
Ours,264,0.7395113296536747,0.05387683044478212,0.652642869598991
Ours,265,0.7367983040362561,0.053838702753701145,0.6513362514552897
Ours,266,0.7340984039395683,0.05380083231266096,0.6500296353509557
Ours,267,0.7314115572399346,0.053763216870622896,0.648723021275431
Ours,268,0.7287376922008937,0.053725854199924754,0.6474164092182633
Ours,269,0.7260767374716172,0.0536887420960093,0.6461097991690897
Ours,270,0.7234286220850763,0.053651878377155945,0.6448031911176431
Ours,271,0.7207932754564235,0.053615260884215775,0.6434965850537531
Ours,272,0.7181706273812463,0.05357888748034954,0.6421899809673395
Ours,273,0.7155606080340613,0.053542756050768914,0.6408833788484127
Ours,274,0.7129631479664432,0.05350686450248098,0.6395767786870783
Ours,275,0.7103781781054799,0.05347121076403552,0.6382701804735266
Ours,276,0.7078056297521215,0.053435792785275514,0.6369635841980387
Ours,277,0.7052454345794739,0.053400608537090916,0.6356569898509816
Ours,278,0.7026975246312073,0.05336565601117503,0.6343503974228103
Ours,279,0.70016183231985,0.05333093321978407,0.6330438069040607
Ours,280,0.697638290425258,0.05329643819549969,0.6317372182853613
Ours,281,0.6951268320929258,0.053262168990994285,0.6304306315574131
Ours,282,0.6926273908322533,0.05322812367879934,0.6291240467110072
Ours,283,0.6901399005151387,0.05319430035107648,0.6278174637370136
Ours,284,0.6876642953742597,0.05316069711939146,0.6265108826263812
Ours,285,0.6852005100013346,0.05312731211449073,0.6252043033701408
Ours,286,0.6827484793457869,0.053094143486081005,0.623897725959399
Ours,287,0.6803081387128086,0.05306118940261144,0.6225911503853406
Ours,288,0.6778794237620834,0.0530284480510584,0.621284576639229
Ours,289,0.6754622705059125,0.05299591763671302,0.6199780047123997
Ours,290,0.6730566153078641,0.0529635963829713,0.6186714345962668
Ours,291,0.6706623948808933,0.052931482531126915,0.6173648662823148
Ours,292,0.6682795462860941,0.05289957434016636,0.6160582997621047
Ours,293,0.6659080069308256,0.05286787008656681,0.614751735027266
Ours,294,0.66354771456727,0.052836368064096445,0.6134451720695031
Ours,295,0.6611986072907821,0.05280506658361722,0.6121386108805876
Ours,296,0.6588606235384322,0.05277396397289011,0.6108320514523661
Ours,297,0.6565337020873179,0.05274305857638263,0.6095254937767474
Ours,298,0.6542177820530354,0.05271234875507879,0.6082189378457113
Ours,299,0.6519128028880794,0.052681832886291684,0.6069123836513087
